name,ring,quadrant,isNew,description
C#,Adopt,languages-and-frameworks,FALSE,
Java,Adopt,languages-and-frameworks,FALSE,
Selenium Webdriver,Adopt,languages-and-frameworks,FALSE,
.net 6/7,Adopt,languages-and-frameworks,FALSE,
Specflow,Adopt,languages-and-frameworks,FALSE,
gRPC & Rest,Adopt,languages-and-frameworks,FALSE,
Angular / React,Adopt,languages-and-frameworks,FALSE,
IntelliJ,Adopt,languages-and-frameworks,FALSE,
Kusto (KQL),Assess,languages-and-frameworks,FALSE,
Dapr,Assess,languages-and-frameworks,FALSE,
Entity Framework,Assess,languages-and-frameworks,FALSE,
Dapper (SQL),Assess,languages-and-frameworks,FALSE,
Next.JS,Assess,languages-and-frameworks,FALSE,
NextAuth.js,Assess,languages-and-frameworks,FALSE,
Prisma,Assess,languages-and-frameworks,FALSE,
tRPC,Assess,languages-and-frameworks,FALSE,
Vite,Assess,languages-and-frameworks,FALSE,
c++,Hold,languages-and-frameworks,FALSE,
.net framework WCF,Hold,languages-and-frameworks,FALSE,
.net framework ,Hold,languages-and-frameworks,FALSE,
.net Core,Hold,languages-and-frameworks,FALSE,
Enterprise Library,Hold,languages-and-frameworks,FALSE,
Azure App Services,Adopt,Platforms,FALSE,
Azure,Adopt,Platforms,FALSE,
Azure Functions,Adopt,Platforms,FALSE,
Azure Web Jobs,Adopt,Platforms,FALSE,
Azure DevOps,Adopt,Platforms,FALSE,
Redis,Adopt,Platforms,FALSE,
New Relic,Adopt,Platforms,FALSE,
Blob Storage,Trial,Platforms,FALSE,
Kubernetes,Assess,Platforms,FALSE,
MongoDB Atlas,Assess,Platforms,FALSE,
OpenTelemetry,Assess,Platforms,FALSE,
Azure Logic Apps,Assess,Platforms,FALSE,
Docker,Hold,Platforms,FALSE,
Zero Trust Architecture,Adopt,Techniques,FALSE,
Infrastructure as code (Terraform),Adopt,Techniques,FALSE,
Feature Toggle,Adopt,Techniques,FALSE,
TDD,Trial,Techniques,FALSE,
CD,Trial,Techniques,FALSE,
Microservices,Assess,Techniques,FALSE,
Event Driven architecture,Assess,Techniques,FALSE,
Terraform,Adopt,Tools,FALSE,
Maven,Adopt,Tools,FALSE,
X-Ray,Adopt,Tools,FALSE,
Jenkins,Adopt,Tools,FALSE,
Powershell / Powershell Core,Adopt,Tools,FALSE,
Ready API,Adopt,Tools,FALSE,
Jmeter,Adopt,Tools,FALSE,
ReSharper,Adopt,Tools,FALSE,
FluentD,Adopt,Tools,FALSE,
SonarCube,Adopt,Tools,FALSE,
GIT,Adopt,Tools,FALSE,
NewRelic,Adopt,Tools,FALSE,
Group Performance Harness,Adopt,Tools,FALSE,
Graphana,Adopt,Tools,FALSE,
InfluxDB,Adopt,Tools,FALSE,
Postman,Adopt,Tools,FALSE,
SSMS,Adopt,Tools,FALSE,
RedGate Toolbelt,Adopt,Tools,FALSE,
CosmosDB,Assess,Tools,FALSE,
RedGate Change Automation,Assess,Tools,FALSE,
Api Gateway,Assess,Tools,FALSE,
Event Grid,Assess,Tools,FALSE,
Azure Service Bus,Assess,Tools,FALSE,
Katalan,Assess,Tools,FALSE,
Specflow,Assess,Tools,FALSE,
SSRS,Hold,Tools,FALSE,
SSIS,Hold,Tools,FALSE,
